id,locale,route,source,local_exists,source_snippets,missing_snippets,coverage,status,missing_examples,error
"ZH-001","zh-CN","/","https://www.zh.xiangqi.com/","true","80","0","100","pass","",""
"ZH-002","zh-CN","/help/","https://www.zh.xiangqi.com/help/","true","5","0","100","pass","",""
"ZH-003","zh-CN","/download/","https://www.zh.xiangqi.com/mobile/","true","80","0","100","pass","",""
"ZH-004","zh-CN","/how-to-play-xiangqi/","https://www.zh.xiangqi.com/how-to-play-xiangqi/","true","80","0","100","pass","",""
"ZH-005","zh-CN","/how-to-play/","https://www.zh.xiangqi.com/how-to-play/","true","18","0","100","pass","",""
"ZH-006","zh-CN","/first-game/","https://www.zh.xiangqi.com/first-game/","true","5","0","100","pass","",""
"ZH-007","zh-CN","/play-with-a-friend/","https://www.zh.xiangqi.com/play-with-a-friend/","true","7","0","100","pass","",""
"ZH-008","zh-CN","/how-to-create-puzzle/","https://www.zh.xiangqi.com/how-to-create-puzzle/","true","13","0","100","pass","",""
"ZH-009","zh-CN","/tournament/","https://www.zh.xiangqi.com/tournament/","true","27","0","100","pass","",""
"ZH-010","zh-CN","/invite/","https://www.zh.xiangqi.com/invite/","true","2","0","100","pass","",""
"ZH-011","zh-CN","/help/markers/","https://www.zh.xiangqi.com/help/markers.html","true","7","0","100","pass","",""
"ZH-012","zh-CN","/rating/","https://www.zh.xiangqi.com/rating/","true","12","0","100","pass","",""
"ZH-013","zh-CN","/support-home/","https://www.zh.xiangqi.com/support-home/","true","4","0","100","pass","",""
"ZH-014","zh-CN","/articles/","https://www.zh.xiangqi.com/articles/","true","0","0","0","pass","",""
"ZH-015","zh-CN","/sys-nd/23.html","https://www.zh.xiangqi.com/articles/import-game-notation/","true","0","0","0","pass","",""
"ZH-016","zh-CN","/sys-nd/22.html","https://www.zh.xiangqi.com/sys-nd/22.html","true","0","0","0","pass","",""
"ZH-017","zh-CN","/sys-nd/20.html","https://www.zh.xiangqi.com/sys-nd/20.html","true","0","0","0","pass","",""
"TCN-001","zh-Hant","/tcn/","https://www.zh.xiangqi.com/tcn/","true","80","0","100","pass","",""
"TCN-002","zh-Hant","/tcn/support-home/","https://www.zh.xiangqi.com/tcn/support-home/","true","4","0","100","pass","",""
"TCN-003","zh-Hant","/tcn/first-game/","https://www.zh.xiangqi.com/tcn/first-game/","true","5","0","100","pass","",""
"TCN-004","zh-Hant","/tcn/tournament/","https://www.zh.xiangqi.com/tcn/tournament/","true","27","0","100","pass","",""
"TCN-005","zh-Hant","/tcn/rating/","https://www.zh.xiangqi.com/tcn/rating/","true","12","0","100","pass","",""
"TCN-006","zh-Hant","/tcn/download/","https://www.zh.xiangqi.com/tcn/mobile/","true","80","0","100","pass","",""
"TCN-007","zh-Hant","/tcn/how-to-play/","https://www.zh.xiangqi.com/tcn/how-to-play/","true","18","0","100","pass","",""
"EN-001","en","/en/","https://www.xiangqi.com/","true","80","0","100","pass","",""
"EN-002","en","/en/help/","https://www.xiangqi.com/help","true","41","0","100","pass","",""
"EN-003","en","/en/help/menu/","https://www.xiangqi.com/help/menu","true","41","0","100","pass","",""
"EN-004","en","/en/support-home/","https://www.xiangqi.com/support-home","true","30","0","100","pass","",""
"EN-005","en","/en/how-to-play-xiangqi/","https://www.xiangqi.com/how-to-play-xiangqi","true","80","0","100","pass","",""
"EN-006","en","/en/help/board-and-set-up/","https://www.xiangqi.com/help/board-and-set-up","true","57","0","100","pass","",""
"EN-007","en","/en/help/markers/","https://www.xiangqi.com/help/markers","true","9","0","100","pass","",""
"EN-008","en","/en/help/tournament/","https://www.xiangqi.com/help/tournament","true","46","0","100","pass","",""
"EN-009","en","/en/help/handicap-mode/","https://www.xiangqi.com/help/handicap-mode","true","22","0","100","pass","",""
"EN-010","en","/en/xiangqi-puzzle/","https://www.xiangqi.com/xiangqi-puzzle","true","42","0","100","pass","",""
"EN-011","en","/en/articles/what-is-xiangqi-aka-chinese-chess/","https://www.xiangqi.com/articles/what-is-xiangqi-aka-chinese-chess","true","25","0","100","pass","",""
"EN-012","en","/en/help/rating/","https://www.xiangqi.com/help/rating","true","21","0","100","pass","",""
"EN-013","en","/en/help/fair-play/","https://www.xiangqi.com/fair-play","true","31","0","100","pass","",""
"EN-014","en","/en/help/politeness-code/","https://www.xiangqi.com/polite","true","12","0","100","pass","",""
"VI-001","vi","/vi/","https://www.vn.xiangqi.com/","true","80","0","100","pass","",""
"VI-002","vi","/vi/how-to-play/","https://www.vn.xiangqi.com/how-to-play","true","80","0","100","pass","",""
"VI-003","vi","/vi/download/","https://www.vn.xiangqi.com/mobile","true","78","0","100","pass","",""
"VI-004","vi","/vi/cau-hoi-thuong-gap/","https://www.vn.xiangqi.com/cau-hoi-thuong-gap","true","80","0","100","pass","",""
"VI-005","vi","/vi/help/rating/","https://www.vn.xiangqi.com/help/rating","true","18","0","100","pass","",""
"VI-006","vi","/vi/articles/luat-choi-co-tuong/","https://www.vn.xiangqi.com/articles/luat-choi-co-tuong","true","80","0","100","pass","",""
"VI-007","vi","/vi/articles/cach-di-chuyen-co-tuong/","https://www.vn.xiangqi.com/articles/cach-di-chuyen-co-tuong","true","80","0","100","pass","",""
"VI-008","vi","/vi/articles/cac-quan-co-trong-co-tuong/","https://www.vn.xiangqi.com/articles/cac-quan-co-trong-co-tuong","true","80","0","100","pass","",""
"VI-009","vi","/vi/articles/elo-co-tuong/","https://www.vn.xiangqi.com/articles/elo-co-tuong","true","62","0","100","pass","",""
